ID,Img URL,Img Name,Desc (S),caption_original,is_arabic,caption_en,caption_train
321,591.jpg,591.jpg,"A man in a wheelchair, a woman in a white headscarf, and another woman in a black headscarf are seated outdoors on dirt ground. The woman in black sits against a blue and black painted wall, with luggage visible nearby.","A man in a wheelchair, a woman in a white headscarf, and another woman in a black headscarf are seated outdoors on dirt ground. The woman in black sits against a blue and black painted wall, with luggage visible nearby.",False,"A man in a wheelchair, a woman in a white headscarf, and another woman in a black headscarf are seated outdoors on dirt ground. The woman in black sits against a blue and black painted wall, with luggage visible nearby.","A man in a wheelchair, a woman in a white headscarf, and another woman in a black headscarf are seated outdoors on dirt ground. The woman in black sits against a blue and black painted wall, with luggage visible nearby."
558,828.jpg,828.jpg,"A visibly distressed woman wearing a black head covering cries out with her mouth open, her face contorted in anguish, while being supported by two other individuals. One person gently touches her arm on the right, and another holds her arm on the left, both partially visible.","A visibly distressed woman wearing a black head covering cries out with her mouth open, her face contorted in anguish, while being supported by two other individuals. One person gently touches her arm on the right, and another holds her arm on the left, both partially visible.",False,"A visibly distressed woman wearing a black head covering cries out with her mouth open, her face contorted in anguish, while being supported by two other individuals. One person gently touches her arm on the right, and another holds her arm on the left, both partially visible.","A visibly distressed woman wearing a black head covering cries out with her mouth open, her face contorted in anguish, while being supported by two other individuals. One person gently touches her arm on the right, and another holds her arm on the left, both partially visible."
191,1496.jpg,1496.jpg,"A man wearing a head covering and light-colored robe holds a knife, standing near a dark car with a shattered window. In the immediate foreground, a rifle is visible next to a blurry, injured person and a pickup truck.","A man wearing a head covering and light-colored robe holds a knife, standing near a dark car with a shattered window. In the immediate foreground, a rifle is visible next to a blurry, injured person and a pickup truck.",False,"A man wearing a head covering and light-colored robe holds a knife, standing near a dark car with a shattered window. In the immediate foreground, a rifle is visible next to a blurry, injured person and a pickup truck.","A man wearing a head covering and light-colored robe holds a knife, standing near a dark car with a shattered window. In the immediate foreground, a rifle is visible next to a blurry, injured person and a pickup truck."
869,1715.jpg,1715.jpg,"An older man wearing a blue ""PRESS"" vest with a red cross emblem is featured against a background showing a sepia-toned image of an ancient city with a dome and minaret, alongside a red section displaying the BBC News logo.","An older man wearing a blue ""PRESS"" vest with a red cross emblem is featured against a background showing a sepia-toned image of an ancient city with a dome and minaret, alongside a red section displaying the BBC News logo.",False,"An older man wearing a blue ""PRESS"" vest with a red cross emblem is featured against a background showing a sepia-toned image of an ancient city with a dome and minaret, alongside a red section displaying the BBC News logo.","An older man wearing a blue ""PRESS"" vest with a red cross emblem is featured against a background showing a sepia-toned image of an ancient city with a dome and minaret, alongside a red section displaying the News."
809,1653.jpg,1653.jpg,"A destroyed coastal area features a large crater and the skeletal remains of a building's roof structure, with three men standing amidst the rubble looking towards the sea.","A destroyed coastal area features a large crater and the skeletal remains of a building's roof structure, with three men standing amidst the rubble looking towards the sea.",False,"A destroyed coastal area features a large crater and the skeletal remains of a building's roof structure, with three men standing amidst the rubble looking towards the sea.","A destroyed coastal area features a large crater and the skeletal remains of a building's roof structure, with three men standing amidst the rubble looking towards the sea."
845,1691.jpg,1691.jpg,"Two large, black and white portraits of men in helmets, one labeled ""PRESS"", are displayed above a crowd of people. Arabic text is visible beneath the portraits, and some individuals in the foreground hold signs, with a BBC News logo in the bottom left.","Two large, black and white portraits of men in helmets, one labeled ""PRESS"", are displayed above a crowd of people. Arabic text is visible beneath the portraits, and some individuals in the foreground hold signs, with a BBC News logo in the bottom left.",False,"Two large, black and white portraits of men in helmets, one labeled ""PRESS"", are displayed above a crowd of people. Arabic text is visible beneath the portraits, and some individuals in the foreground hold signs, with a BBC News logo in the bottom left.","Two large, black and white portraits of men in helmets, one labeled ""PRESS"", are displayed above a crowd of people. Arabic text is visible beneath the portraits, and some individuals in the foreground hold signs, with a News in the."
436,706.jpg,706.jpg,"A man in camouflage military gear and a boonie hat holds an assault rifle with an attached scope and suppressor. He stands in a wide, open desert landscape, with a military vehicle and sparse vegetation visible in the distance.","A man in camouflage military gear and a boonie hat holds an assault rifle with an attached scope and suppressor. He stands in a wide, open desert landscape, with a military vehicle and sparse vegetation visible in the distance.",False,"A man in camouflage military gear and a boonie hat holds an assault rifle with an attached scope and suppressor. He stands in a wide, open desert landscape, with a military vehicle and sparse vegetation visible in the distance.","A man in camouflage military gear and a boonie hat holds an assault rifle with an attached scope and suppressor. He stands in a wide, open desert landscape, with a military vehicle and sparse vegetation visible in the distance."
158,1374.jpg,1374.jpg,"The image displays several dark, ribbed objects, some emitting orange fiery streaks, descending from a dark sky over a populated urban landscape. Below, numerous people are visible on the ground amidst buildings and palm trees, with scattered orange glows across the scene. A large white banner prominently states: ""Germany drops aid over Gaza.""","The image displays several dark, ribbed objects, some emitting orange fiery streaks, descending from a dark sky over a populated urban landscape. Below, numerous people are visible on the ground amidst buildings and palm trees, with scattered orange glows across the scene. A large white banner prominently states: ""Germany drops aid over Gaza.""",False,"The image displays several dark, ribbed objects, some emitting orange fiery streaks, descending from a dark sky over a populated urban landscape. Below, numerous people are visible on the ground amidst buildings and palm trees, with scattered orange glows across the scene. A large white banner prominently states: ""Germany drops aid over Gaza.""","The image displays several dark, ribbed objects, some emitting orange fiery streaks, descending from a dark sky over a populated urban landscape. Below, numerous people are visible on the ground amidst buildings and palm trees, with scattered orange glows across the scene. A large white banner prominently states: ""Germany drops aid over Gaza."""
410,680.jpg,680.jpg,"A man in a dark pinstripe suit, white shirt, and yellow patterned tie is speaking into microphones. Behind him, a large red flag with a white crescent moon and star is clearly visible.","A man in a dark pinstripe suit, white shirt, and yellow patterned tie is speaking into microphones. Behind him, a large red flag with a white crescent moon and star is clearly visible.",False,"A man in a dark pinstripe suit, white shirt, and yellow patterned tie is speaking into microphones. Behind him, a large red flag with a white crescent moon and star is clearly visible.","A man in a dark pinstripe suit, white shirt, and yellow patterned tie is speaking into microphones. Behind him, a large red flag with a white crescent moon and star is clearly visible."
1373,1550.jpg,1550.jpg,رجل يرتدي بدلة داكنة وعليه شارة شريط أصفر يقف خلف منصة خطابة. يظهر علم إسرائيل بجانبه، وخلفه ستائر زرقاء.,رجل يرتدي بدلة داكنة وعليه شارة شريط أصفر يقف خلف منصة خطابة. يظهر علم إسرائيل بجانبه، وخلفه ستائر زرقاء.,True,"A man in a dark suit with a yellow ribbon badge standing behind a rhetorical platform shows Israel's flag next to him, with blue curtains behind him.","A man in a dark suit with a yellow ribbon badge standing behind a rhetorical platform shows Israel's flag next to him, with blue curtains behind him."
752,1598.jpg,1598.jpg,"A young boy in a dark shirt and red pants crouches amidst extensive rubble and broken concrete. He looks directly at the camera, surrounded by what appear to be damaged grave markers and debris.","A young boy in a dark shirt and red pants crouches amidst extensive rubble and broken concrete. He looks directly at the camera, surrounded by what appear to be damaged grave markers and debris.",False,"A young boy in a dark shirt and red pants crouches amidst extensive rubble and broken concrete. He looks directly at the camera, surrounded by what appear to be damaged grave markers and debris.","A young boy in a dark shirt and red pants crouches amidst extensive rubble and broken concrete. He looks directly at the camera, surrounded by what appear to be damaged grave markers and debris."
1403,1580.jpg,1580.jpg,"صورة بخلفية زرقاء داكنة عليها خريطة العالم، تظهر عليها كلمات بيضاء بارزة: ""بيان صحفي"" في المنتصف و ""إسرائيل"" في الأسفل.","صورة بخلفية زرقاء داكنة عليها خريطة العالم، تظهر عليها كلمات بيضاء بارزة: ""بيان صحفي"" في المنتصف و ""إسرائيل"" في الأسفل.",True,"A picture with a dark blue background on the map of the world, with prominent white words: ""press release"" in the middle and ""Israel"" downstairs.","A picture with a dark blue background on the map of the world, with prominent white words: ""press release"" in the middle and ""Israel"" downstairs."
751,1597.jpg,1597.jpg,"Three women stand in the foreground, with the central woman crying out, her mouth open and hands outstretched. The other two women, wearing headscarves, support her on either side in an outdoor area with visible rubble and blurred figures and vehicles in the background.","Three women stand in the foreground, with the central woman crying out, her mouth open and hands outstretched. The other two women, wearing headscarves, support her on either side in an outdoor area with visible rubble and blurred figures and vehicles in the background.",False,"Three women stand in the foreground, with the central woman crying out, her mouth open and hands outstretched. The other two women, wearing headscarves, support her on either side in an outdoor area with visible rubble and blurred figures and vehicles in the background.","Three women stand in the foreground, with the central woman crying out, her mouth open and hands outstretched. The other two women, wearing headscarves, support her on either side in an outdoor area with visible rubble and blurred figures and vehicles in the background."
388,658.jpg,658.jpg,"A military tank is visible on a dirt mound with dry, brown vegetation. In the background, a city skyline appears hazy, while green crops are in the foreground.","A military tank is visible on a dirt mound with dry, brown vegetation. In the background, a city skyline appears hazy, while green crops are in the foreground.",False,"A military tank is visible on a dirt mound with dry, brown vegetation. In the background, a city skyline appears hazy, while green crops are in the foreground.","A military tank is visible on a dirt mound with dry, brown vegetation. In the background, a city skyline appears hazy, while green crops are in the foreground."
1,1045.jpg,1045.jpg,"A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.","A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.",False,"A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.","A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface."
486,756.jpg,756.jpg,"A man with a grey beard and short grey hair, wearing a dark jacket over a blue shirt, raises his right hand with his palm open. He stands against a light, blurry background with the BBC News logo visible in the bottom left corner.","A man with a grey beard and short grey hair, wearing a dark jacket over a blue shirt, raises his right hand with his palm open. He stands against a light, blurry background with the BBC News logo visible in the bottom left corner.",False,"A man with a grey beard and short grey hair, wearing a dark jacket over a blue shirt, raises his right hand with his palm open. He stands against a light, blurry background with the BBC News logo visible in the bottom left corner.","A man with a grey beard and short grey hair, wearing a dark jacket over a blue shirt, raises his right hand with his palm open. He stands against a light, blurry background with the News visible in the corner."
114,1330.jpg,1330.jpg,"A group of men walk away from a large, camouflaged helicopter in a field. Text at the top of the image reads ""Witkoff's Visit to Aid Centers in Gaza Is a Pre-Staged Charade"" and ""Hamas"", while one man in the foreground wears a hat with ""AMERICA FIRST AGAIN"" visible.","A group of men walk away from a large, camouflaged helicopter in a field. Text at the top of the image reads ""Witkoff's Visit to Aid Centers in Gaza Is a Pre-Staged Charade"" and ""Hamas"", while one man in the foreground wears a hat with ""AMERICA FIRST AGAIN"" visible.",False,"A group of men walk away from a large, camouflaged helicopter in a field. Text at the top of the image reads ""Witkoff's Visit to Aid Centers in Gaza Is a Pre-Staged Charade"" and ""Hamas"", while one man in the foreground wears a hat with ""AMERICA FIRST AGAIN"" visible.","A group of men walk away from a large, camouflaged helicopter in a field. Text at the top of the image reads ""a public official's Visit to Aid Centers in Gaza Is a Pre-Staged Charade"" and ""Hamas"", while one man in the foreground wears a hat with ""AMERICA FIRST AGAIN"" visible."
455,725.jpg,725.jpg,"A woman holding a young child stands with three other children around a table laden with treats and drinks. All five individuals are smiling and dressed in colorful attire, including festive costumes, against a vibrant backdrop.","A woman holding a young child stands with three other children around a table laden with treats and drinks. All five individuals are smiling and dressed in colorful attire, including festive costumes, against a vibrant backdrop.",False,"A woman holding a young child stands with three other children around a table laden with treats and drinks. All five individuals are smiling and dressed in colorful attire, including festive costumes, against a vibrant backdrop.","A woman holding a young child stands with three other children around a table laden with treats and drinks. All five individuals are smiling and dressed in colorful attire, including festive costumes, against a vibrant backdrop."
