ID,Img URL,Img Name,Desc (S),caption_original,is_arabic,caption_en,caption_train
1,1045.jpg,1045.jpg,"A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.","A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.",False,"A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface.","A close-up shot shows a man's face, angled upwards, with a tear visible on his cheek. He appears to be lying on a reddish surface."
2,1046.jpg,1046.jpg,"The image displays a dark background with a grid of twelve portrait photographs featuring young individuals, appearing to be children and teenagers. Each photo is labeled with a name and age, and the image prominently includes text at the top stating ""ONE YEAR AGO: 12 ISRAELI DRUZE CHILDREN WERE MURDERED BY HEZBOLLAH"", a memorial message, a lit candle, and the ""StandWithUs"" logo.","The image displays a dark background with a grid of twelve portrait photographs featuring young individuals, appearing to be children and teenagers. Each photo is labeled with a name and age, and the image prominently includes text at the top stating ""ONE YEAR AGO: 12 ISRAELI DRUZE CHILDREN WERE MURDERED BY HEZBOLLAH"", a memorial message, a lit candle, and the ""StandWithUs"" logo.",False,"The image displays a dark background with a grid of twelve portrait photographs featuring young individuals, appearing to be children and teenagers. Each photo is labeled with a name and age, and the image prominently includes text at the top stating ""ONE YEAR AGO: 12 ISRAELI DRUZE CHILDREN WERE MURDERED BY HEZBOLLAH"", a memorial message, a lit candle, and the ""StandWithUs"" logo.","The image displays a dark background with a grid of twelve portrait photographs featuring young individuals, appearing to be children and teenagers. Each photo is labeled with a name and age, and the image prominently includes text at the top stating ""ONE YEAR AGO: 12 ISRAELI DRUZE CHILDREN WERE MURDERED BY a person"", a memorial message, a lit candle, and the ""StandWithUs""."
3,1047.jpg,1047.jpg,"A man with a mustache and beard is speaking into a microphone, wearing a dark blue t-shirt with the number ""659"" and a yellow ribbon emblem. In the background, posters with images of men and printed text are visible, while a large block of white text on a black background occupies the lower portion of the image.","A man with a mustache and beard is speaking into a microphone, wearing a dark blue t-shirt with the number ""659"" and a yellow ribbon emblem. In the background, posters with images of men and printed text are visible, while a large block of white text on a black background occupies the lower portion of the image.",False,"A man with a mustache and beard is speaking into a microphone, wearing a dark blue t-shirt with the number ""659"" and a yellow ribbon emblem. In the background, posters with images of men and printed text are visible, while a large block of white text on a black background occupies the lower portion of the image.","A man with a mustache and beard is speaking into a microphone, wearing a dark blue t-shirt with the number ""659"" and a yellow ribbon emblem. In the background, posters with images of men and printed text are visible, while a large block of white text on a black background occupies the lower portion of the image."
4,1048.jpg,1048.jpg,"The image displays a portrait of a man with short dark hair and a beard, wearing a green military-style shirt, against a blurred background. Text on the image, dated ""JULY 26, 2025,"" identifies the man as Sergeant Major Betzalel Yehoshua Mosbacher of the IDF, stating he passed away after being injured in Gaza, with a lit candle also visible.","The image displays a portrait of a man with short dark hair and a beard, wearing a green military-style shirt, against a blurred background. Text on the image, dated ""JULY 26, 2025,"" identifies the man as Sergeant Major Betzalel Yehoshua Mosbacher of the IDF, stating he passed away after being injured in Gaza, with a lit candle also visible.",False,"The image displays a portrait of a man with short dark hair and a beard, wearing a green military-style shirt, against a blurred background. Text on the image, dated ""JULY 26, 2025,"" identifies the man as Sergeant Major Betzalel Yehoshua Mosbacher of the IDF, stating he passed away after being injured in Gaza, with a lit candle also visible.","The image displays a portrait of a man with short dark hair and a beard, wearing a green military-style shirt, against a blurred background. Text on the image, dated ""JULY 26, 2025,"" identifies the man as Sergeant Major a person of the IDF, stating he passed away after being injured in Gaza, with a lit candle also visible."
5,1049.jpg,1049.jpg,"A crowd of people, mostly men, are seen carrying large white bags on their shoulders and in their arms. Many individuals are gathered around and on top of a large white truck on a dusty, open landscape under a clear blue sky.","A crowd of people, mostly men, are seen carrying large white bags on their shoulders and in their arms. Many individuals are gathered around and on top of a large white truck on a dusty, open landscape under a clear blue sky.",False,"A crowd of people, mostly men, are seen carrying large white bags on their shoulders and in their arms. Many individuals are gathered around and on top of a large white truck on a dusty, open landscape under a clear blue sky.","A crowd of people, mostly men, are seen carrying large white bags on their shoulders and in their arms. Many individuals are gathered around and on top of a large white truck on a dusty, open landscape under a clear blue sky."
6,1072.jpg,1072.jpg,"A group of people are protesting outdoors, holding various signs. Prominent among these signs are large posters depicting a severely emaciated child and a crying infant, while others display text in Hebrew.","A group of people are protesting outdoors, holding various signs. Prominent among these signs are large posters depicting a severely emaciated child and a crying infant, while others display text in Hebrew.",False,"A group of people are protesting outdoors, holding various signs. Prominent among these signs are large posters depicting a severely emaciated child and a crying infant, while others display text in Hebrew.","A group of people are protesting outdoors, holding various signs. Prominent among these signs are large posters depicting a severely emaciated child and a crying infant, while others display text in Hebrew."
7,1073.jpg,1073.jpg,"A woman with short blonde hair speaks into a microphone at a clear lectern, with a green flag and patterned wall visible behind her. The image features a ""LIVE UPDATES ISRAEL'S WAR ON GAZA"" text banner at the bottom and the Al Jazeera logo in the top right.","A woman with short blonde hair speaks into a microphone at a clear lectern, with a green flag and patterned wall visible behind her. The image features a ""LIVE UPDATES ISRAEL'S WAR ON GAZA"" text banner at the bottom and the Al Jazeera logo in the top right.",False,"A woman with short blonde hair speaks into a microphone at a clear lectern, with a green flag and patterned wall visible behind her. The image features a ""LIVE UPDATES ISRAEL'S WAR ON GAZA"" text banner at the bottom and the Al Jazeera logo in the top right.","A woman with short blonde hair speaks into a microphone at a clear lectern, with a green flag and patterned wall visible behind her. The image features a "" ISRAEL'S WAR ON GAZA"" text banner at the bottom and the in the."
8,1074.jpg,1074.jpg,"The image shows a man in glasses and a suit speaking into a microphone, positioned against a background of a red and white pattern and green foliage. Overlaid text includes ""# ISRAEL'S WAR ON GAZA"" and ""ALJAZEERA"" at the top, along with a larger caption at the bottom stating ""Australia's Albanese says Israel's blockade of Gaza breaches international law.""","The image shows a man in glasses and a suit speaking into a microphone, positioned against a background of a red and white pattern and green foliage. Overlaid text includes ""# ISRAEL'S WAR ON GAZA"" and ""ALJAZEERA"" at the top, along with a larger caption at the bottom stating ""Australia's Albanese says Israel's blockade of Gaza breaches international law.""",False,"The image shows a man in glasses and a suit speaking into a microphone, positioned against a background of a red and white pattern and green foliage. Overlaid text includes ""# ISRAEL'S WAR ON GAZA"" and ""ALJAZEERA"" at the top, along with a larger caption at the bottom stating ""Australia's Albanese says Israel's blockade of Gaza breaches international law.""","The image shows a man in glasses and a suit speaking into a microphone, positioned against a background of a red and white pattern and green foliage. Overlaid text includes ""# ISRAEL'S WAR ON GAZA"" and """" at the top, along with a larger caption at the bottom stating ""Australia's Albanese says Israel's blockade of Gaza breaches international law."""
9,1075.jpg,1075.jpg,"A grey military cargo plane is seen flying in a clear blue sky with its rear ramp open. Numerous bundles attached to parachutes, some small and light-colored, others large and dark, are descending from the aircraft.","A grey military cargo plane is seen flying in a clear blue sky with its rear ramp open. Numerous bundles attached to parachutes, some small and light-colored, others large and dark, are descending from the aircraft.",False,"A grey military cargo plane is seen flying in a clear blue sky with its rear ramp open. Numerous bundles attached to parachutes, some small and light-colored, others large and dark, are descending from the aircraft.","A grey military cargo plane is seen flying in a clear blue sky with its rear ramp open. Numerous bundles attached to parachutes, some small and light-colored, others large and dark, are descending from the aircraft."
10,1076.jpg,1076.jpg,"A large crowd of people, many carrying white sacks or bundles, walks through a heavily damaged urban landscape. Destroyed buildings and rising smoke plumes are visible in the background, amidst widespread rubble and debris.","A large crowd of people, many carrying white sacks or bundles, walks through a heavily damaged urban landscape. Destroyed buildings and rising smoke plumes are visible in the background, amidst widespread rubble and debris.",False,"A large crowd of people, many carrying white sacks or bundles, walks through a heavily damaged urban landscape. Destroyed buildings and rising smoke plumes are visible in the background, amidst widespread rubble and debris.","A large crowd of people, many carrying white sacks or bundles, walks through a heavily damaged urban landscape. Destroyed buildings and rising smoke plumes are visible in the background, amidst widespread rubble and debris."
