ID,Img URL,Img Name,Desc (S),caption_original,is_arabic,caption_en,caption_train
199,468.png,468.png,"A young boy cries intensely while being held by an older male on a medical cot in a crowded facility. Medical workers are visible attending to other individuals, some with apparent injuries, in the background.","A young boy cries intensely while being held by an older male on a medical cot in a crowded facility. Medical workers are visible attending to other individuals, some with apparent injuries, in the background.",False,"A young boy cries intensely while being held by an older male on a medical cot in a crowded facility. Medical workers are visible attending to other individuals, some with apparent injuries, in the background.","A young boy cries intensely while being held by an older male on a medical cot in a crowded facility. Medical workers are visible attending to other individuals, some with apparent injuries, in the background."
248,518.png,518.png,An aerial view shows numerous people gathered amidst extensive rubble and large impact craters in a heavily damaged urban area. Buildings in the background are visibly destroyed.,An aerial view shows numerous people gathered amidst extensive rubble and large impact craters in a heavily damaged urban area. Buildings in the background are visibly destroyed.,False,An aerial view shows numerous people gathered amidst extensive rubble and large impact craters in a heavily damaged urban area. Buildings in the background are visibly destroyed.,An aerial view shows numerous people gathered amidst extensive rubble and large impact craters in a heavily damaged urban area. Buildings in the background are visibly destroyed.
254,524.png,524.png,"An outdoor area filled with numerous tarps and people is visible in front of multi-story buildings, one labeled ""Special Surgery Building."" A large plume of dark smoke rises into the sky in the background, and the BBC News logo is present in the top left corner.","An outdoor area filled with numerous tarps and people is visible in front of multi-story buildings, one labeled ""Special Surgery Building."" A large plume of dark smoke rises into the sky in the background, and the BBC News logo is present in the top left corner.",False,"An outdoor area filled with numerous tarps and people is visible in front of multi-story buildings, one labeled ""Special Surgery Building."" A large plume of dark smoke rises into the sky in the background, and the BBC News logo is present in the top left corner.","An outdoor area filled with numerous tarps and people is visible in front of multi-story buildings, one labeled ""Special Surgery Building."" A large plume of dark smoke rises into the sky in the background, and the News is present in the corner."
264,534.png,534.png,"A large group of people, including many children and adults, are gathered in a crowded indoor space. Many individuals are resting or sitting on the floor with blankets and mats, while others stand or move around amidst their belongings.","A large group of people, including many children and adults, are gathered in a crowded indoor space. Many individuals are resting or sitting on the floor with blankets and mats, while others stand or move around amidst their belongings.",False,"A large group of people, including many children and adults, are gathered in a crowded indoor space. Many individuals are resting or sitting on the floor with blankets and mats, while others stand or move around amidst their belongings.","A large group of people, including many children and adults, are gathered in a crowded indoor space. Many individuals are resting or sitting on the floor with blankets and mats, while others stand or move around amidst their belongings."
278,548.png,548.png,"A busy street is filled with numerous people, including men, women, and children, walking amidst extensive rubble and severely damaged buildings. The surrounding structures appear partially collapsed, with debris covering the ground.","A busy street is filled with numerous people, including men, women, and children, walking amidst extensive rubble and severely damaged buildings. The surrounding structures appear partially collapsed, with debris covering the ground.",False,"A busy street is filled with numerous people, including men, women, and children, walking amidst extensive rubble and severely damaged buildings. The surrounding structures appear partially collapsed, with debris covering the ground.","A busy street is filled with numerous people, including men, women, and children, walking amidst extensive rubble and severely damaged buildings. The surrounding structures appear partially collapsed, with debris covering the ground."
314,584.png,584.png,"A child wearing a red jacket and dark head covering stands with a bicycle on debris-strewn ground. In the background, a massive pile of concrete rubble and twisted metal indicates a destroyed structure.","A child wearing a red jacket and dark head covering stands with a bicycle on debris-strewn ground. In the background, a massive pile of concrete rubble and twisted metal indicates a destroyed structure.",False,"A child wearing a red jacket and dark head covering stands with a bicycle on debris-strewn ground. In the background, a massive pile of concrete rubble and twisted metal indicates a destroyed structure.","A child wearing a red jacket and dark head covering stands with a bicycle on debris-strewn ground. In the background, a massive pile of concrete rubble and twisted metal indicates a destroyed structure."
316,586.png,586.png,"A crowd of young men and boys are visible, many holding empty cooking pots, pans, and bowls. They are looking in different directions, some directly at the viewer and others upwards.","A crowd of young men and boys are visible, many holding empty cooking pots, pans, and bowls. They are looking in different directions, some directly at the viewer and others upwards.",False,"A crowd of young men and boys are visible, many holding empty cooking pots, pans, and bowls. They are looking in different directions, some directly at the viewer and others upwards.","A crowd of young men and boys are visible, many holding empty cooking pots, pans, and bowls. They are looking in different directions, some directly at the viewer and others upwards."
917,60.jpg,60.jpg,"تُظهر الصورة سيارة إسعاف وأكياس طعام قرب لافتة كتب عليها ""غزة""، وثلاثة أشخاص بينهم طبيبة ومصور يسألون ""أين هم المختطفون؟"". في الجزء السفلي، يظهر رجل هزيل يمد يده من حفرة ويسأل ""أين هو الصليب الأحمر؟"".","تُظهر الصورة سيارة إسعاف وأكياس طعام قرب لافتة كتب عليها ""غزة""، وثلاثة أشخاص بينهم طبيبة ومصور يسألون ""أين هم المختطفون؟"". في الجزء السفلي، يظهر رجل هزيل يمد يده من حفرة ويسأل ""أين هو الصليب الأحمر؟"".",True,"The picture shows an ambulance and food bags near a sign that says ""Gaza,"" and three people, including a doctor and a photographer, ask, ""Where are the kidnappers?"" At the bottom, a slim man shows up from a hole and asks, ""Where is the Red Cross?""","The picture shows an ambulance and food bags near a sign that says ""Gaza,"" and three people, including a doctor and a photographer, ask, ""Where are the kidnappers?"" At the bottom, a slim man shows up from a hole and asks, ""Where is the Red Cross?"""
918,61.jpg,61.jpg,تظهر الصورة رجلاً يرتدي بدلة داكنة وربطة عنق حمراء، مع دبوس شريطة صفراء على سترته. خلفه، تظهر عدة أعلام إسرائيلية بيضاء تحمل نجمة داوود زرقاء وخطوط زرقاء.,تظهر الصورة رجلاً يرتدي بدلة داكنة وربطة عنق حمراء، مع دبوس شريطة صفراء على سترته. خلفه، تظهر عدة أعلام إسرائيلية بيضاء تحمل نجمة داوود زرقاء وخطوط زرقاء.,True,"The picture shows a man wearing a dark suit and a red tie, with a yellow pin on his jacket. Behind him, several white Israeli flags with a blue David star and blue stripes appear.","The picture shows a man wearing a dark suit and a red tie, with a yellow pin on his jacket. Behind him, several white Israeli flags with a blue a person star and blue stripes appear."
919,62.jpg,62.jpg,تظهر سيارة إسعاف بيضاء في شارع سوق مزدحم بالناس. يقف رجل بزي رسمي ويوجه المتواجدين، بينما تبرز مئذنة مسجد في الخلفية.,تظهر سيارة إسعاف بيضاء في شارع سوق مزدحم بالناس. يقف رجل بزي رسمي ويوجه المتواجدين، بينما تبرز مئذنة مسجد في الخلفية.,True,"A white ambulance appears on a crowded market street. A man stands in uniform and directs those present, while a mosque minaret appears in the background.","A white ambulance appears on a crowded market street. A man stands in uniform and directs those present, while a mosque minaret appears in the background."
920,63.jpg,63.jpg,تظهر الصورة رجلاً يرتدي بدلة رسمية وقميصاً أبيض وربطة عنق داكنة، ويبدو وكأنه يتحدث. خلفه تظهر خلفية ضبابية بألوان متعددة تشبه الأعلام.,تظهر الصورة رجلاً يرتدي بدلة رسمية وقميصاً أبيض وربطة عنق داكنة، ويبدو وكأنه يتحدث. خلفه تظهر خلفية ضبابية بألوان متعددة تشبه الأعلام.,True,"The picture shows a man wearing a suit, a white shirt and a dark tie, and it looks like he's talking.","The picture shows a man wearing a suit, a white shirt and a dark tie, and it looks like he's talking."
921,64.jpg,64.jpg,يظهر في الصورة رجل مسن ذو لحية رمادية يرتدي بدلة داكنة وربطة عنق حمراء ويبتسم، وخلفه تظهر راية حمراء وبيضاء عليها نجوم بيضاء على خلفية زرقاء.,يظهر في الصورة رجل مسن ذو لحية رمادية يرتدي بدلة داكنة وربطة عنق حمراء ويبتسم، وخلفه تظهر راية حمراء وبيضاء عليها نجوم بيضاء على خلفية زرقاء.,True,"An old man with a gray beard in a dark suit and a red tie and smiling, and a red and white flag with white stars on a blue background, appears in the picture.","An old man with a gray beard in a dark suit and a red tie and smiling, and a red and white flag with white stars on a blue background, appears in the picture."
